类名,子类名,说明,风险,流动性
基金,恒生指数基金,"基本年派息率在4%-6%之间，收取稳定现金流为目标
在恒生指数的市盈率在8-9倍之间购入恒生指数基金，在10-12倍之间卖出先行获利
除了获取红利4%一年外，基本可以以100%的正回报值博率安全获取资本增值率最少约5%的回报。",高,低
基金,纯债,,低,高
基金,保本基金,,低,低
基金,分级A,,低,高
基金,可转债,,中,低
基金,货币基金,,低,高
基金,国债,,低,高
基金,分级基金定投,深成指B和H股B不存在下折。起点，投入1000元，之后指数每下跌5%，就投入1000元，如果指数上涨则不增加资金投入，待指数反弹后，获取收益。参才创业板B。,中,低
基金,黄金ETFI,指数每下跌5%，就投入1000元，如果指数上涨则不增加资金投入，待指数反弹后，获取收益。,中,低
基金,长期,"极简,(定投，按比例持有15年）",低,低
基金,谱蓝,按比例定投,中,低
基金,谱蓝组合,按比例定投,中,低
基金,进取,"每月定投,与纯债比值参考神奇仓位，高于正常定投，底于就加位定投。高太多的停止定投。指数基金参考定投十年赚十倍的估值数据。
微笑曲线
适合振荡市，（反弹能力抢眼）519704交银制造、519698交银先锋
（当主板市盈率小于15的时候开始定投，大于15的时候停止定投，大于20的时候全部卖出，当主板市盈率小于10的时候双倍定投。",高,低
基金,定增基金,投资定向增发,高,低
基金,打新基金,,低,高
基金,量化对冲基金,量化基金用模型来彻底代替人的判断。一次性投入，不适合定投。大成动态量化（003147），（002449）民生加银量化中国灵活配置,高,低
基金,绝对收益基金,以绝对收益为目标的基金。兴业聚利（001272）,低,中
基金,定开债基,全称叫定期开放债券型基金，采取封闭管理、定期开放的方式运作,低,低
基金,国债逆回购,,低,高
基金,基金组合进取型,,高,低
基金,基金组合稳健型,,中,低
基金,基金组合保守型,短融债（000084博时安盈A 000128大成景安短融A     070009嘉实超短债 000394融通通源短融A）,低,高
基金,国债etf,"年收益率5%,T+0,用于股市场内资金管理站。",低,高
基金,红利指数基金,考虑长期持有拿每年现金分红，可以考虑红利基金，是不错的长期养老品种。它的分红还会随着时间延续而长期增长。,高,低
基金,均线穿越,例：6日均线上穿30日均线买入，下穿30日均线时卖出，运用在趋势较为平滑的个股上。例：沪深300etf（510300）.10年增值9倍。,高,低
基金,创业板指数,波动大.易方达创业板指数联接etf（110026）,高,低
基金,医药指数,国联安中证医药100指数（000059）,高,低
股票,股票雷达跟投,在股票雷达中跟投高手，资金放国债etf暂存,高,低
股票,股票雷达组合,,高,低
p2p,可变现标,满一个月可变现,高,中
p2p,不可变现标,,高,低
p2p,理财计划,,高,低
p2p,活期p2p,,中,高
保险理财,投资连结险定期,没保底,中,低
保险理财,投资连结险活期,没保底,中,高
保险理财,万能险,有保底,低,低
保险理财,分红险,风险最低,低,低
平台固收,金融机构理财,平台代销国有金融交易中心发行，多还款来源，多方有担保，第三方支付机构流转，一年期年化低于7%,中,低
平台固收,投资公司理财,平台代销国有投资公司中、短资产构建稳健的投资组合，一年期年化低于7%,中,低
平台固收,证券公司理财,平台代销证券公司投向许可的其他金融工具或产品,中,低
平台固收,定向融资,平台代销并担保，私募基金融资，用于补充发行人流动资金，年化低于7%。有点类似金融机构理财,中,低
平台固收,票据理财,,低,中
平台固收,保理理财,保理公司再融资。保理--用应收账款作抵押进行融资,中,低
平台固收,企业融资理财,大型企业融资,中,低
银行理财,银行理财,,低,低
银行理财,活期,,低,低
